SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
559,559,s05605.dyndns.org,,,AV. BEBERIBE,RUA CÔRTES,AV. BEBERIBE X RUA CÔRTES,PORTO DA MADEIRA,GIT-SM 6 FASES,SERTTEL,2,,,-8.006012,-34.892094,"-8.006012,-34.892094",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,02/02/2000
560,560,s05523.dyndns.org,,,RUA ARQUITETO LUIZ NUNES,EM FRENTE ESCOLA PINHEIROS,RUA ARQUITETO LUIZ NUNES X EM FRENTE ESCOLA PINHEIROS,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.090085,-34.910495,"-8.090085,-34.910495",NÃO,,,,,2,,,,2,,,4,,,2,,,,,,4.010.969.439,3.170.506.099,02/02/2000
561,561,s05155.dyndns.org,,,AV. DOIS RIOS,RUA PINTOR AGENOR ALBUQUERQUE,AV. DOIS RIOS X RUA PINTOR AGENOR ALBUQUERQUE,IBURA,GIT-SM 6 FASES,SINALVIDA,7,,,-8.110539,-34.936994,"-8.110539,-34.936994",NÃO,,,,,3,,2,,2,,,6,,2,2,,,,,,4.011.843.927,,10/02/2000
562 / 126,562,s05027.dyndns.org,,,AV. RUI BARBOSA,RUA DAS GRAÇAS,AV. RUI BARBOSA X RUA DAS GRAÇAS,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.047071,-34.900733,"-8.047071,-34.900733",SIM,,,,,,1,1,1,,,,2,,,2,,1,,,,4.005.799.940,61.422.471,29/02/2000
563,563,s04998.dyndns.org,,,AV. LUÍS CORREIA DE BRITO,RUA PROF. JOSE DOS ANJOS,AV. LUÍS CORREIA DE BRITO X RUA PROF. JOSE DOS ANJOS,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.020518,-34.873489,"-8.020518,-34.873489",NÃO,,,,,,,,2,,,,6,,,,,,,,,4.011.843.927,,06/05/2000
564,564,s05396.dyndns.org,,,RUA JEAN EMILE FAVRE,RUA POTENGI,RUA JEAN EMILE FAVRE X RUA POTENGI,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.108570,-34.916722,"-8.108570,-34.916722",NÃO,,,,,,,,1,1,,,6,,,,,3,,,,7.001.126.754,3.140.782.555,06/05/2000
565,565,s05540.dyndns.org,,,RUA JERÔNIMO VILELA,RUA DR. MACHADO,RUA JERÔNIMO VILELA X RUA DR. MACHADO,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.029414,-34.881878,"-8.029414,-34.881878",NÃO,,,,,4,,2,,4,,,8,,4,,,4,,,,7.004.078.076,3.010.220.243,09/02/2001
566,566,s05610.dyndns.org,,,RUA DR. MIGUEL VIEIRA FERREIRA,AV. INÁCIO MONTEIRO,RUA DR. MIGUEL VIEIRA FERREIRA X AV. INÁCIO MONTEIRO,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.051208,-34.933048,"-8.051208,-34.933048",NÃO,,,,,7,,3,,4,,,8,,,8,,4,,,,4.011.843.927,,17/01/2005
567,567,s05131.dyndns.org,,,AV. DESEMBARGADOR JOSÉ NEVES,RUA DESEMBARGADOR JOÃO PAES,AV. DESEMBARGADOR JOSÉ NEVES X RUA DESEMBARGADOR JOÃO PAES,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.126658,-34.909940,"-8.126658,-34.909940",NÃO,,,,,,,1,,5,,,8,,,,,4,,,,4.007.159.434,3.010.157.134,17/01/2005
568,568,s05685.dyndns.org,,,AV. CAXANGÁ,AV. AFONSO OLINDENSE,AV. CAXANGÁ X AV. AFONSO OLINDENSE,VÁRZEA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.031370,-34.955740,"-8.031370,-34.955740",NÃO,,,,,,,,1,2,,,6,,,,,3,,,,,,05/05/2018
569,569,s04985.dyndns.org,,,RUA AURORA CAÇOTE,PROXIMO A RUA IZABEL DE GÓES,RUA AURORA CAÇOTE X PROXIMO A RUA IZABEL DE GÓES,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.099306,-34.934257,"-8.099306,-34.934257",NÃO,,,,,2,,2,,2,,,4,,2,,,,,,,4.011.843.927,,01/05/2018
570,570,,,,AV. MAL. MASCARENHAS DE MORAIS,PRAÇA MINISTRO SALGADO FILHO CID/SUB ,AV. MAL. MASCARENHAS DE MORAIS X PRAÇA MINISTRO SALGADO FILHO CID/SUB ,IMBIRIBEIRA,GIT-SM 6 FASES,SERTTEL,5,FALTA GABINETE DA RADIUM,,-8.132517,-34.916380,"-8.132517,-34.916380",NÃO,,,,,2,,,2,,,,4,,,2,,2,,,,4.011.843.927,,25/01/2005
571,571,s55039.dyndns.org,,,CAIS DE SANTA RITA,ACESSO AO TERMINAL DE ÔNIBUS,CAIS DE SANTA RITA X ACESSO AO TERMINAL DE ÔNIBUS,SÃO JOSÉ,REMOVIDO,SINALVIDA,10,SEMÁFORO REMOVIDO,,-8.069236,-34.876124,"-8.069236,-34.876124",NÃO,,,,,,,1,1,,,,5,,,,,,,,,7.001.420.059,91.189.712,26/02/2005
572,572,s05285.dyndns.org,,,RUA 10 DE JULHO,RUA 20 DE JANEIRO,RUA 10 DE JULHO X RUA 20 DE JANEIRO,SETÚBAL,GIT-SM 6 FASES,SINALVIDA,6,,,-8.134801,-34.913548,"-8.134801,-34.913548",NÃO,,,,,,,,1,,,,4,,,,,,,,,4.006.873.419,62.097.698,06/04/2005
573,573,s05311.dyndns.org,,,RUA 10 DE JULHO,RUA WALDEMAR NERY C. MONTEIRO,RUA 10 DE JULHO X RUA WALDEMAR NERY C. MONTEIRO,SETÚBAL,GIT-SM 6 FASES,SINALVIDA,6,,,-8.135172,-34.911862,"-8.135172,-34.911862",NÃO,,,,,,,,2,,,,6,,,,,,,,,4.006.883.864,62.097.752,06/04/2005
574,574,s05312.dyndns.org,,,RUA JOÃO CARDOSO AIRES,RUA SÁ E SOUZA,RUA JOÃO CARDOSO AIRES X RUA SÁ E SOUZA,SETÚBAL,GIT-SM 6 FASES,SINALVIDA,6,,,-8.142274,-34.908591,"-8.142274,-34.908591",NÃO,,,,,,,,3,,,,6,,,,,,,,,4.006.884.062,62.098.139,11/05/2005
575,575,s05606.dyndns.org,,,AV. BEBERIBE,RUA CANTORA DALVA DE OLIVEIRA,AV. BEBERIBE X RUA CANTORA DALVA DE OLIVEIRA,BEBERIBE,GIT-SM 6 FASES,SERTTEL,2,,,-8.006926,-34.890943,"-8.006926,-34.890943",NÃO,,,,,5,,4,3,,,,8,,6,,,4,,,,4.012.280.993,82.184.210,30/05/2005
576,576,,,,RUA JOSÉ BONIFÁCIO,RUA DEMOSTENES DE OLINDA,RUA JOSÉ BONIFÁCIO X RUA DEMOSTENES DE OLINDA,TORRE,DIGICON - CD300,SINALVIDA,8,,,-8.049327,-34.906468,"-8.049327,-34.906468",NÃO,,,,,,,,0,2,,,4,,,2,,2,,,,4.008.919.785,81.648.131,22/06/2005
577,577,s04988.dyndns.org,,,RUA GAL. POLIDORO,RUA ABATIÁ,RUA GAL. POLIDORO X RUA ABATIÁ,CIDADE UNIVERSITÁRIA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.042460,-34.946922,"-8.042460,-34.946922",NÃO,,,,,,,,3,,,,8,,,,,4,,,,4.011.843.927,,24/08/2005
578,578,s05627.dyndns.org,,,RUA DA SOLEDADE,RUA DO PROGRESSO,RUA DA SOLEDADE X RUA DO PROGRESSO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.058852,-34.889911,"-8.058852,-34.889911",NÃO,,,2,07:00/19:00h,,,1,,2,,,4,,,2,,,,,,7.001.420.750,3.225.857.821,17/09/2005
579,579,s05308.dyndns.org,,,RUA DA AURORA,RUA DO RIACHUELO,RUA DA AURORA X RUA DO RIACHUELO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.060809,-34.880832,"-8.060809,-34.880832",NÃO,,,,,,,,,1,,,4,,,,,2,,,,7.001.421.020,91.189.720,01/10/2005
580,580,s05321.dyndns.org,,,AV. DESEMBARGADOR JOSÉ NEVES,APÓS A SAÍDA DO TÚNEL AUGUSTO LUCENA NO SENTIDO SUB/ CID,AV. DESEMBARGADOR JOSÉ NEVES X APÓS A SAÍDA DO TÚNEL AUGUSTO LUCENA NO SENTIDO SUB/ CID,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.121374,-34.909356,"-8.121374,-34.909356",NÃO,,,,,2,,2,1,,,,3,,2,,,,,,,7.023.974.023,3.160.478.658,18/11/2016
581,581,s04987.dyndns.org,,,AV. MARIA IRENE,ALBERTO LUNDGREN,AV. MARIA IRENE X ALBERTO LUNDGREN,JORDÃO,GIT-SM 6 FASES,SINALVIDA,6,,,-8.137056,-34.936962,"-8.137056,-34.936962",NÃO,,,,,,,1,2,,,,6,,,,,,,,,4.011.843.927,,10/09/2016
582,582,s05044.dyndns.org,,,CAIS DE SANTA RITA,EM FRENTE AO EDIF. PÍER MAURÍCIO DE NASSAU- SUB/CID,CAIS DE SANTA RITA X EM FRENTE AO EDIF. PÍER MAURÍCIO DE NASSAU- SUB/CID,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.071584,-34.877446,"-8.071584,-34.877446",NÃO,,,,,,,2,2,,,,10,,,2,,5,,,,4.011.843.927,,04/12/2005
583,583,s05041.dyndns.org,,,CAIS DE SANTA RITA,EM FRENTE AO EDIF. PÍER MAURÍCIO DE NASSAU- CID/SUB,CAIS DE SANTA RITA X EM FRENTE AO EDIF. PÍER MAURÍCIO DE NASSAU- CID/SUB,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.068609,-34.876406,"-8.068609,-34.876406",NÃO,,,,,,,2,2,,,,2,,,2,,,,,,4.011.843.927,,04/12/2005
584,584,s05118.dyndns.org,,,AV. MARIA IRENE,PRÓXIMO A RUA CAFARNAUM,AV. MARIA IRENE X PRÓXIMO A RUA CAFARNAUM,JORDÃO,GIT-SM 6 FASES,SINALVIDA,6,,,-8.140728,-34.929391,"-8.140728,-34.929391",NÃO,,,,,2,,,,2,,,4,,2,,,,,,,4.011.843.927,,02/10/2017
585 / 346,585,s05577.dyndns.org	,,,RUA LEONARDO BEZERRA CAVALCANTE,PRAÇA JORNAL DO COMMÉRCIO,RUA LEONARDO BEZERRA CAVALCANTE X PRAÇA JORNAL DO COMMÉRCIO,CASA FORTE,COMPARTILHADO,SERTTEL,1,,,-8.037385,-34.913637,"-8.037385,-34.913637",NÃO,,,,,,,1,1,,,,4,,,,,,,,,,,14/10/2017
586,586,s05081.dyndns.org,,,RUA DELMIRO GOUVEIA,EM FRENTE AO PRÉDIO DA CHESF,RUA DELMIRO GOUVEIA X EM FRENTE AO PRÉDIO DA CHESF,SAN MARTIN,GIT-SM 6 FASES,SINALVIDA,8,,,-8.063632,-34.930486,"-8.063632,-34.930486",NÃO,,,2,24h,,,,2,,,,4,,,2,,,,,,4.005.131.370,3.223.088.987,12/06/2006
587 / 463,587,s05624.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,PRAÇA GENERAL ABREU E LIMA,AV. NORTE MIGUEL ARRAES DE ALENCAR X PRAÇA GENERAL ABREU E LIMA,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.048290,-34.876001,"-8.048290,-34.876001",SIM,,,,,,,1,,3,,,7,,,,,2,,,,,,11/05/2006
588 / 224,588,,,,ESTRADA DOS PINTOS,RUA MANOEL DE MEDEIROS,ESTRADA DOS PINTOS X RUA MANOEL DE MEDEIROS,DOIS IRMÃOS,GIT-SM 6 FASES,SINALVIDA,9,FALTA GABINETE DA RADIUM,,-8.016859,-34.951362,"-8.016859,-34.951362",NÃO,,,,,,,,2,,,,6,,,,,,,,,,,11/05/2006
589,589,s05250.dyndns.org,,,RUA ODETE MONTEIRO,RUA PROF. ESTEVÃO FRANCISCO DA COSTA,RUA ODETE MONTEIRO X RUA PROF. ESTEVÃO FRANCISCO DA COSTA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.047178,-34.918722,"-8.047178,-34.918722",NÃO,,,,,,,,,4,,,7,,,,,,,,,4.011.843.927,,28/10/2017
590,590,s05277.dyndns.org,,,RUA BENFICA,PRAÇA EUCLIDES DA CUNHA SAÍDA DO TÚNEL CHICO SCIENCE,RUA BENFICA X PRAÇA EUCLIDES DA CUNHA SAÍDA DO TÚNEL CHICO SCIENCE,MADALENA,GIT-SM 6 FASES,SINALVIDA,8,,BENFICA,-8.058701,-34.902706,"-8.058701,-34.902706",NÃO,,,,,,,,,2,,,4,,,,,2,,,,4.011.843.927,,24/10/2014
591 / 080 / 266,591,s05069.dyndns.org	,,,AV. CAXANGÁ,RUA MANOEL MOREIRA,AV. CAXANGÁ X RUA MANOEL MOREIRA,CORDEIRO,COMPARTILHADO,SINALVIDA,9,,,-8.049905,-34.922193,"-8.049905,-34.922193",NÃO,,,,,,,,,2,,,6,,,,,3,,,,,,11/06/2006
592,592,s05126.dyndns.org,,,AV. DOM JOÃO VI,APÓS A SAÍDA DO ESTACIONAMENTO DO SHOPPING RECIFE SENTIDO SUB/CID,AV. DOM JOÃO VI X APÓS A SAÍDA DO ESTACIONAMENTO DO SHOPPING RECIFE SENTIDO SUB/CID,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.118592,-34.907107,"-8.118592,-34.907107",NÃO,,,,,2,,2,1,,,,3,,2,,,,,,,4.011.843.927,,13/03/2018
593,593,s05082.dyndns.org,,,ESTRADA DO ENCANAMENTO,ESTRADA DAS UBAIAS,ESTRADA DO ENCANAMENTO X ESTRADA DAS UBAIAS,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.030341,-34.919003,"-8.030341,-34.919003",SIM,,,,,,,1,2,,,,4,,,,,,,1,,4.005.236.245,3.154.674.550,07/07/2006
594,594,s05114.dyndns.org,,,AV. DOIS RIOS,EM FRENTE AO N° 110,AV. DOIS RIOS X EM FRENTE AO N° 110,IBURA,GIT-SM 6 FASES,SINALVIDA,7,,,-8.109820,-34.936173,"-8.109820,-34.936173",NÃO,,,,,2,,,,2,,,4,,,2,,,,,0,7.024.327.897,3.202.695.930,21/09/2006
595 / 498 / 432,595,s05659.dyndns.org,,,RUA JOAQUIM NABUCO,RUA MONSENHOR AMBROSINO LEITE,RUA JOAQUIM NABUCO X RUA MONSENHOR AMBROSINO LEITE,GRAÇAS,COMPARTILHADO,SERTTEL,4,,,-8.052665,-34.901092,"-8.052665,-34.901092",NÃO,,,,,,,,1,,,,4,,,,,2,,,,4.007.503.305,3.120.891.374,14/10/2006
596,596,s04963.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,EM FRENTE AO Nº 7123,AV. NORTE MIGUEL ARRAES DE ALENCAR X EM FRENTE AO Nº 7123,MACAXEIRA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.018281,-34.928470,"-8.018281,-34.928470",NÃO,,,,,2,,1,,1,,,2,,,2,,1,,,,4.005.751.018,3.170.489.330,07/10/2006
597,597,s05289.dyndns.org,,,RUA ODETE MONTEIRO,RUA DR. JOÃO LACERDA,RUA ODETE MONTEIRO X RUA DR. JOÃO LACERDA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.045478,-34.921760,"-8.045478,-34.921760",NÃO,,,2,05:00/22:00h,,,,2,,,,4,,,2,,2,,,,4.009.510.945,80.796.480,03/06/2008
598,598,s05170.dyndns.org,,,RUA DA HARMONIA,RUA  MAJ. NEREU GUERRA,RUA DA HARMONIA X RUA  MAJ. NEREU GUERRA,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.026241,-34.913430,"-8.026241,-34.913430",SIM,,,,,,,1,,2,,,6,,,,,3,,,,4.011.652.390,83.086.416,18/11/2006
599,599,s55304.dyndns.org,,,AV. RECIFE,EM FRENTE AO CONJ. IGNEZ ANDREAZZA,AV. RECIFE X EM FRENTE AO CONJ. IGNEZ ANDREAZZA,CAÇOTE,GIT-SM 6 FASES,SINALVIDA,7,,,-8.097522,-34.928591,"-8.097522,-34.928591",NÃO,,,,,2,0,1,1,,,,3,,1,1,,1,,,,4.007.956.083,71.107.493,18/11/2006
600,600,s05005.dyndns.org,,,RUA MONSENHOR AMBROSINO LEITE,RUA DAS PERNAMBUCANAS,RUA MONSENHOR AMBROSINO LEITE X RUA DAS PERNAMBUCANAS,GRAÇAS,GIT-SM 6 FASES,SERTTEL,4,,,-8.050878,-34.901050,"-8.050878,-34.901050",NÃO,,,,,,,,2,,,,4,,,,,2,,,,4.007.956.202,71.107.523,11/11/2006
601,601,,,,RUA JOSÉ BONIFÁCIO,RUA JOSÉ DE HOLANDA,RUA JOSÉ BONIFÁCIO X RUA JOSÉ DE HOLANDA,TORRE,DIGICON - FCA,SINALVIDA,8,,,-8.044731,-34.907491,"-8.044731,-34.907491",NÃO,,,2,05:00/22:00h,,,,2,,,,4,,2,0,,2,,,,4.006.555.514,3.181.361.971,22/01/2007
602,602,s05113.dyndns.org,,,RUA PADRE LEMOS,RUA VISCONDE DE TAUNAY,RUA PADRE LEMOS X RUA VISCONDE DE TAUNAY,CASA AMARELA,GIT-SM 6 FASES,SERTTEL,1,,,-8.024301,-34.917945,"-8.024301,-34.917945",NÃO,,,,,4,0,2,3,,,,6,,,4,,,,,,4.010.481.495,3.151.773.841,02/02/2007
603,603,s05355.dyndns.org,,,AV. GUARARAPES,ESTAÇÃO BRT GUARARAPES (SUB/CID),AV. GUARARAPES X ESTAÇÃO BRT GUARARAPES (SUB/CID),SANTO ANTONIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.063384,-34.879344,"-8.063384,-34.879344",NÃO,,,2,06:30/20:00h,,,2,1,,,,3,,,2,,,,,,4.011.843.927,,11/09/1982
604,604,s05691.dyndns.org,,,AV. GUARARAPES,ESTAÇÃO BRT GUARARAPES (CID/SUB),AV. GUARARAPES X ESTAÇÃO BRT GUARARAPES (CID/SUB),SANTO ANTONIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.063569,-34.878803,"-8.063569,-34.878803",NÃO,,,,,0,,1,,1,,,3,,,2,,,,,,4.011.843.927,,11/09/1982
605,605,s05021.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT RIACHO CAVOUCO (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT RIACHO CAVOUCO (CID/SUB),IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.036393,-34.946281,"-8.036393,-34.946281",NÃO,,,,,2,,,2,0,,,4,,,2,,,,,,,,11/09/1982
606,606,s05241.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO PARQUE DO CORDEIRO (SUB/CID),AV. CAXANGÁ X ESTAÇÃO PARQUE DO CORDEIRO (SUB/CID),CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.046407,-34.928610,"-8.046407,-34.928610",NÃO,,,2,06:00/20:30h,,,,,2,,,4,,2,,,2,,,,4.011.843.927,,11/09/1982
607 / 610,607,s05564.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT CAIARA (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT CAIARA (CID/SUB),IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.043293,-34.933760,"-8.043293,-34.933760",NÃO,,,2,06:30/20:00h,,,,,2,,,4,,2,,,2,,,,,,11/09/1982
608 / 231,608,s05596.dyndns.org	,,,AV. CAXANGÁ,ESTAÇÃO BRT RIACHO DO CAVOUCO (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT RIACHO DO CAVOUCO (SUB/CID),IPUTINGA,COMPARTILHADO,SINALVIDA,9,,,-8.036567,-34.946324,"-8.036567,-34.946324",NÃO,,,,06:30/20:00h,0,,,2,0,,,4,,2,,,,,,,,,11/09/1982
609,609,s05597.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT ENGENHO POETA (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT ENGENHO POETA (CID/SUB),BRASILIT,GIT-SM 6 FASES,SINALVIDA,9,,,-8.034399,-34.949951,"-8.034399,-34.949951",NÃO,,,2,06:30/20:00h,,,,2,0,,,4,,2,,,,,,,4.011.843.927,,11/09/1982
610 / 607,610,s05564.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT CAIRÁ (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT CAIRÁ (SUB/CID),IPUTINGA,COMPARTILHADO,SINALVIDA,9,,,-8.043459,-34.933822,"-8.043459,-34.933822",NÃO,,,2,06:30/20:00h,,,,,2,,,4,,2,,,2,,,,,,11/09/1982
611,611,s05181.dyndns.org,,,RUA 21 DE ABRIL,RUA BEZERRA DA PALMA,RUA 21 DE ABRIL X RUA BEZERRA DA PALMA,MUSTARDINHA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.076388,-34.913454,"-8.076388,-34.913454",NÃO,,,,,2,,1,,1,,,4,,,2,,,,,,4.011.843.927,,04/12/2000
612,612,s05072.dyndns.org,,,ESTRADA DE BELÉM,PRÓX. A RUA SÃO FÉLIX,ESTRADA DE BELÉM X PRÓX. A RUA SÃO FÉLIX,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.032265,-34.879187,"-8.032265,-34.879187",NÃO,,,,,2,,,2,,,,4,,2,,,2,,,,4.008.015.673,3.203.724.046,01/10/2007
613,613,s05132.dyndns.org,,,RUA DES. GOES CAVALCANTE,"PRÓX, A RUA ALBINO MEIRA","RUA DES. GOES CAVALCANTE X PRÓX, A RUA ALBINO MEIRA",VILA DOS COMERCIÁRIOS,GIT-SM 6 FASES,SERTTEL,1,,,-8.031017,-34.908528,"-8.031017,-34.908528",NÃO,,,,,2,,1,1,,,,3,,,2,,,,,,4.006.968.622,70.033.500,15/08/2007
614 / 415,614,s05572.dyndns.org	,,,AV. 17 DE AGOSTO,AV. FLOR DE SANTANA,AV. 17 DE AGOSTO X AV. FLOR DE SANTANA,SANTANA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.035525,-34.912678,"-8.035525,-34.912678",SIM,,,,,,,,2,,,,6,,,,,,,,,4.006.968.657,70.033.461,11/04/2007
615 / 726,615,s05206.dyndns.org,,,AV. DR. JOSÉ RUFINO,EM FRENTE AO N° 2673,AV. DR. JOSÉ RUFINO X EM FRENTE AO N° 2673,BARRO,COMPARTILHADO,SERTTEL,5,,,-8.092823,-34.946131,"-8.092823,-34.946131",NÃO,,,,,2,,1,1,,,,3,,2,,,,,,,4.011.843.927,,19/11/1987
616,616,s05261.dyndns.org,,,AV. RECIFE,EM FRENTE AO Nº 2843 SENTIDO (AEROPORTO/CEASA),AV. RECIFE X EM FRENTE AO Nº 2843 SENTIDO (AEROPORTO/CEASA),VILA DO IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.112691,-34.926312,"-8.112691,-34.926312",NÃO,,,,,2,,1,,1,,,3,,,2,,1,,,,4.008.147.146,71.522.032,19/01/1987
617,617,s05502.dyndns.org,,,AV. RECIFE,EM FRENTE AO HOSPITAL GERAL DE AREIAS SENTIDO BR101,AV. RECIFE X EM FRENTE AO HOSPITAL GERAL DE AREIAS SENTIDO BR101,CAÇOTE,GIT-SM 6 FASES,SINALVIDA,7,,,-8.100470,-34.928072,"-8.100470,-34.928072",NÃO,,,,,2,,1,,1,,,3,,,2,,1,,,,4.008.140.060,3.183.460.020,09/10/1986
618,618,s05644.dyndns.org,,,AV. RECIFE,EM FRENTE AO CONJ. IGNEZ ANDREAZZA,AV. RECIFE X EM FRENTE AO CONJ. IGNEZ ANDREAZZA,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.097504,-34.928465,"-8.097504,-34.928465",NÃO,,,,,2,0,,2,,,,4,,,2,,2,,,,4.008.180.879,3.141.198.342,24/11/2006
619,619,s05647.dyndns.org,,,AV. RECIFE,EM FRENTE AO N° 727,AV. RECIFE X EM FRENTE AO N° 727,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.092766,-34.929158,"-8.092766,-34.929158",NÃO,,,,,2,,1,,1,,,3,,,2,,1,,,,4.008.182.197,3.141.321.527,08/06/1996
620,620,s05646.dyndns.org,,,AV. RECIFE,AV. TAPAJÓS,AV. RECIFE X AV. TAPAJÓS,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.090861,-34.929408,"-8.090861,-34.929408",NÃO,,,,,6,,4,3,1,,,11,,,6,,3,,,,4.008.181.034,3.204.251.923,08/06/1990
621,621,s05539.dyndns.org,,,AV. RECIFE,EM FRENTE AO Nº 5008,AV. RECIFE X EM FRENTE AO Nº 5008,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.089031,-34.929653,"-8.089031,-34.929653",NÃO,,,,,2,,2,,1,,,3,,,2,,1,,,,4.008.182.260,3.183.459.995,06/11/2000
622,622,s05592.dyndns.org,,,RUA DA REGENERAÇÃO,PRÓXIMO DA AV. BEBERIBE,RUA DA REGENERAÇÃO X PRÓXIMO DA AV. BEBERIBE,ÁGUA FRIA,GIT-SM 6 FASES,SERTTEL,2,,,-8.018819,-34.892932,"-8.018819,-34.892932",NÃO,,,,,2,,1,,1,,,3,,,2,,,,,,4.008.035.321,3.183.356.240,19/10/2007
623,623,s05226.dyndns.org,,,RUA CARLOS GOMES,RUA RICARDO SALAZAR,RUA CARLOS GOMES X RUA RICARDO SALAZAR,PRADO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.057961,-34.910720,"-8.057961,-34.910720",NÃO,,,,,,,,2,,,,8,,,,,,,,,4.008.035.410,3.225.977.541,06/11/2007
624,624,s05657.dyndns.org,,,AV. VISCONDE DE SUASSUNA,EM FRENTE AO N° 500,AV. VISCONDE DE SUASSUNA X EM FRENTE AO N° 500,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.052592,-34.886268,"-8.052592,-34.886268",NÃO,,,,,2,1,,,1,,,3,,2,,,1,,,1,4.008.107.403,3.221.283.758,11/11/2007
625,625,s05122.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,LADO OPOSTO A  RUA PROF. AURÉLIO DE CASTRO CAVALCANTE,AV. MAL. MASCARENHAS DE MORAIS X LADO OPOSTO A  RUA PROF. AURÉLIO DE CASTRO CAVALCANTE,IMBIRIBEIRA,GIT-SM 6 FASES,SERTTEL,5,,,-8.139774,-34.917560,"-8.139774,-34.917560",NÃO,,,,,2,1,1,1,,,,3,,,2,,1,,,,4.008.456.610,3.203.491.360,28/01/2008
